filename;compressed_size;uncompressed_size
0.json;252443;3560917
10000.json;286712;5300824
10001.json;292920;5315403
10002.json;321375;5425210
10003.json;342760;5504065
10004.json;356939;5552597
10005.json;366103;5599373
10006.json;378662;5633636
10007.json;396700;5691099
10008.json;437376;5881769
10009.json;424711;5815534
1000.json;469376;7370403
10010.json;368918;5626612
10011.json;318842;5435015
10012.json;380728;5628588
10013.json;382039;5838653
10014.json;394655;5626921
10015.json;354980;5498798
10016.json;374985;5577275
10017.json;362355;5534858
10018.json;286510;5409303
10019.json;410519;5931196
1001.json;478288;7393825
10020.json;399724;5669864
10021.json;386897;5932495
10022.json;202762;5866828
10023.json;483643;6913213
10024.json;464827;6883505
10025.json;453581;6836818
10026.json;481838;6940616
10027.json;408193;6062477
10028.json;482264;6710708
10029.json;575764;7774760
1002.json;468730;7348393
10030.json;428382;6679416
10031.json;568315;7644863
10032.json;622897;8066987
10033.json;516498;6630265
10034.json;510204;6661873
10035.json;591681;7548439
10036.json;573607;7473838
10037.json;542562;7296361
10038.json;519352;7156816
10039.json;518657;7117755
1003.json;458833;7319863
10040.json;492533;6868256
10041.json;462017;6612355
10042.json;495444;6736503
10043.json;500917;6696935
10044.json;483382;6440273
10045.json;440538;6072333
10046.json;418480;5900792
10047.json;397829;5936818
10048.json;507739;6511778
10049.json;500171;6479626
1004.json;467485;7332928
10050.json;346663;5679885
10051.json;500586;5935208
10052.json;515669;6139411
10053.json;366817;5874206
10054.json;376351;5387232
10055.json;423230;5536234
10056.json;434058;5701674
10057.json;366701;5357800
10058.json;347091;5403547
10059.json;299350;5366211
1005.json;469085;7341801
10060.json;311664;5392589
10061.json;337305;5480772
10062.json;455660;5859424
10063.json;348468;5465230
10064.json;177647;4953381
10065.json;190683;5043610
10066.json;215778;5125478
10067.json;175835;5048097
10068.json;181159;4984391
10069.json;212136;5083622
1006.json;466616;7320860
10070.json;221512;5110421
10071.json;229574;5101321
10072.json;314529;5330779
10073.json;273381;5220626
10074.json;381469;5696459
10075.json;467252;6049235
10076.json;436165;5842619
10077.json;461837;5729835
10078.json;363132;5574673
10079.json;259342;4648411
1007.json;468225;7347949
10080.json;291895;3709598
10081.json;358226;4996990
10082.json;433946;5710446
10083.json;422201;5657374
10084.json;321179;5403532
10085.json;356187;5587019
10086.json;348822;5495599
10087.json;365814;5477299
10088.json;306184;5423151
10089.json;288782;5311242
1008.json;473754;7332581
10090.json;238432;5169887
10091.json;340343;5493743
10092.json;332894;5529565
10093.json;372211;5562454
10094.json;407499;5614529
10095.json;266933;5357780
10096.json;232633;5111251
10097.json;410783;5609344
10098.json;397446;5563752
10099.json;394227;5590131
1009.json;473634;7128797
100.json;175104;3827501
10100.json;411819;5623465
10101.json;418931;5602216
10102.json;474781;5750219
10103.json;474325;5714331
10104.json;362049;5388318
10105.json;473989;5691309
10106.json;395294;5504578
10107.json;332569;5375607
10108.json;322715;5280580
10109.json;293051;4880543
